tensor(0.7539, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7494, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8249, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8119, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7496, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7744, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7609, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8163, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8242, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8206, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7988, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7773, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8288, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8041, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7479, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7826, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8168, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8140, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7729, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7970, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8715, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7785, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8171, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8236, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8325, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8276, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8273, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8484, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8208, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8920, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7936, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8033, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8397, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7973, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7886, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8116, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8471, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8122, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7588, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7601, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8352, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8130, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7642, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7801, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7730, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7935, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7588, device='cuda:0', grad_fn=<AddBackward0>)
